RU;33;652;TransparentCalls;0.77;256;91;56
US;31;1363;E-Voice;0.71;242;22;8
GB;95;955;TransparentCalls;0.72;163;51;54
FR;17;1723;TransparentCalls;0.82;131;22;55
BL;34;357;E-Voice;0.61;478;88;10
AT;88;886;TransparentCalls;0.93;74;53;3
BG;79;892;E-Voice;0.64;804;85;58
DK;80;462;JustPhone;0.68;696;41;9
CA;5;1049;JustPhone;0.74;825;39;16
ES;46;73;E-Voice;0.69;420;77;38
CH;94;1138;JustPhone;0.88;256;35;54
TR;49;1313;TransparentCalls;0.87;237;84;17
PE;63;1998;JustPhone;0.78;324;64;19
NZ;6;93;JustPhone;0.72;903;33;43
MC;64;544;E-Voice;0.86;201;39;27
